0.142801 1441
0.240252 2881
0.246228 4321
0.343678 5761
0.349654 7201
0.35563 8641
0.447104 10081
0.45308 11521
0.459056 12961
0.544555 14401
0.550531 15841
0.556507 17281
0.562483 18721
0.568459 20161
0.574435 21601
0.647981 23041
0.653957 24481
0.659933 25921
0.665909 27361
0.671885 28801
0.677861 30241
0.683837 31681
0.689813 33121
0.695789 34561
0.701765 36001
0.751408 37441
0.757384 38881
0.76336 40321
0.769336 41761
0.775312 43201
0.781288 44641
0.787264 46081
0.79324 47521
0.799216 48961
0.805192 50401
0.811168 51841
0.817144 53281
0.82312 54721
0.829096 56161
0.835072 57601
0.854834 59041
0.86081 60481
0.866786 61921
0.872762 63361
0.878738 64801
0.884714 66241
0.89069 67681
0.896666 69121
0.902642 70561
0.908618 72001
0.914594 73441
0.92057 74881
0.926546 76321
0.932522 77761
0.938498 79201
0.944474 80641
0.95045 82081
0.956426 83521
0.962402 84961
0.968378 86401
0.974354 87841
0.98033 89281
0.986306 90721
0.992282 92161
0.998258 93601
1.00423 95041
1.01021 96481
1.01619 97921
1.02216 99361
1.02814 100801
1.03411 102241
1.04009 103681
1.04607 105121
1.05204 106561
1.05802 108001
1.06399 109441
1.06997 110881
1.07595 112321
1.08192 113761
1.0879 115201
1.09387 116641
1.09985 118081
1.10583 119521
1.1118 120961
1.11778 122401
1.12375 123841
1.12973 125281
1.13571 126721
1.14168 128161
1.14766 129601
1.15363 131041
1.15961 132481
1.16559 133921
1.17156 135361
1.17754 136801
1.18351 138241
1.18949 139681
1.19547 141121
1.20144 142561
1.20742 144001
1.21339 145441
1.21937 146881
1.22535 148321
1.23132 149761
1.2373 151201
1.24327 152641
1.24925 154081
1.25523 155521
1.2612 156961
1.26718 158401
1.27315 159841
1.27913 161281
1.28511 162721
1.29108 164161
1.29706 165601
1.30303 167041
1.30901 168481
1.31499 169921
1.32096 171361
1.32694 172801
1.33291 174241
1.33889 175681
1.34487 177121
1.35084 178561
1.35682 180001
1.36279 181441
1.36877 182881
1.37475 184321
1.38072 185761
1.3867 187201
1.39267 188641
1.39865 190081
1.40463 191521
1.4106 192961
1.41658 194401
1.42255 195841
1.42853 197281
1.43451 198721
1.44048 200161
1.44646 201601
1.45243 203041
1.45841 204481
1.46439 205921
1.47036 207361
1.47634 208801
1.48231 210241
1.48829 211681
1.49427 213121
1.50024 214561
1.50622 216001
1.51219 217441
1.51817 218881
1.52415 220321
1.53012 221761
1.5361 223201
1.54207 224641
1.54805 226081
1.55403 227521
1.56 228961
1.56598 230401
1.57195 231841
1.57793 233281
1.58391 234721
1.58988 236161
1.59586 237601
1.60183 239041
1.60781 240481
1.61379 241921
1.61976 243361
1.62574 244801
1.63171 246241
1.63769 247681
1.64367 249121
1.64964 250561
1.65562 252001
1.66159 253441
1.66757 254881
1.67355 256321
1.67952 257761
1.6855 259201
1.69147 260641
1.69745 262081
1.70343 263521
1.7094 264961
1.71538 266401
1.72135 267841
1.72733 269281
1.73331 270721
1.73928 272161
1.74526 273601
1.75123 275041
1.75721 276481
1.76319 277921
1.76916 279361
1.77514 280801
1.78111 282241
1.78709 283681
1.79307 285121
1.79904 286561
1.80502 288001
1.81099 289441
1.81697 290881
1.82295 292321
1.82892 293761
1.8349 295201
1.84087 296641
1.84685 298081
1.85283 299521
1.8588 300961
1.86478 302401
1.87075 303841
1.87673 305281
1.88271 306721
1.88868 308161
1.89466 309601
1.90063 311041
1.90661 312481
1.91259 313921
1.91856 315361
1.92454 316801
1.93051 318241
1.93649 319681
1.94247 321121
1.94844 322561
1.95442 324001
1.96039 325441
1.96637 326881
1.97235 328321
1.97832 329761
1.9843 331201
1.99027 332641
1.99625 334081
2.00223 335521
2.0082 336961
2.01418 338401
2.02015 339841
2.02613 341281
2.03211 342721
2.03808 344161
2.04406 345601
2.05003 347041
2.05601 348481
2.06199 349921
2.06796 351361
2.07394 352801
2.07991 354241
2.08589 355681
2.09187 357121
2.09784 358561
2.10382 360001
2.10979 361441
2.11577 362881
2.12175 364321
2.12772 365761
2.1337 367201
2.13967 368641
2.14565 370081
2.15163 371521
2.1576 372961
2.16358 374401
2.16955 375841
2.17553 377281
2.18151 378721
2.18748 380161
2.19346 381601
2.19943 383041
2.20541 384481
2.21139 385921
2.21736 387361
2.22334 388801
2.22931 390241
2.23529 391681
2.24127 393121
2.24724 394561
2.25322 396001
2.25919 397441
2.26517 398881
2.27115 400321
2.27712 401761
2.2831 403201
2.28907 404641
2.29505 406081
2.30103 407521
2.307 408961
2.31298 410401
2.31895 411841
2.32493 413281
2.33091 414721
2.33688 416161
2.34286 417601
2.34883 419041
2.35481 420481
2.36079 421921
2.36676 423361
2.37274 424801
2.37871 426241
2.38469 427681
2.39067 429121
2.39664 430561
2.40262 432001
2.40859 433441
2.41457 434881
2.42055 436321
2.42652 437761
2.4325 439201
2.43847 440641
2.44445 442081
2.45043 443521
2.4564 444961
2.46238 446401
2.46835 447841
2.47433 449281
2.48031 450721
2.48628 452161
2.49226 453601
2.49823 455041
2.50421 456481
2.51019 457921
2.51616 459361
2.52214 460801
2.52811 462241
2.53409 463681
2.54007 465121
2.54604 466561
2.55202 468001
2.55799 469441
2.56397 470881
2.56995 472321
2.57592 473761
2.5819 475201
2.58787 476641
2.59385 478081
2.59983 479521
2.6058 480961
2.61178 482401
2.61775 483841
2.62373 485281
2.62971 486721
2.63568 488161
2.64166 489601
2.64763 491041
2.65361 492481
2.65959 493921
2.66556 495361
2.67154 496801
2.67751 498241
2.68349 499681
2.68947 501121
2.69544 502561
2.70142 504001
